feature,description,computation_window,source_columns
career_games_entering,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
is_disposals_30_plus,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
is_goals_3_plus,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
player_roll3_disposals,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
player_roll5_disposals,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
player_disposals_roll5_std,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
player_roll3_goals,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
player_roll5_goals,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
player_roll3_fantasy,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
player_roll5_fantasy,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
player_h2h_opp_avg_disp,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
player_h2h_opp_avg_goals,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
roll_disposals_3,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
roll_disposals_5,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
roll_goals_3,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
roll_goals_5,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
roll_fantasy_3,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
roll_fantasy_5,Pre-match player feature generated from historical player-match information only.,Historical pre-match window; current player-match excluded.,Engineered from AFL player statistics.
